provider_id,insurance_id,accepted
1,1,true
1,2,false
1,3,false
1,4,false
1,5,false
1,6,false
1,7,false
1,8,false
1,9,false
1,10,false
1,11,false
1,12,false
1,13,false
1,14,false
1,15,false
1,16,false
1,17,false
1,18,false
1,19,false
1,20,false
1,21,false
1,22,false
1,23,false
1,24,false
1,25,false
1,26,false
1,27,false
1,28,false
1,29,false
1,30,false
1,31,false
1,32,false
1,33,false
2,1,false
2,2,false
2,3,false
2,4,false
2,5,false
2,6,false
2,7,false
2,8,true
2,9,false
2,10,false
2,11,true
2,12,true
2,13,false
2,14,false
2,15,false
2,16,false
2,17,false
2,18,false
2,19,true
2,20,false
2,21,false
2,22,false
2,23,false
2,24,false
2,25,false
2,26,false
2,27,false
2,28,false
2,29,false
2,30,true
2,31,false
2,32,false
2,33,false
3,1,false
3,2,false
3,3,false
3,4,false
3,5,false
3,6,false
3,7,false
3,8,true
3,9,false
3,10,false
3,11,false
3,12,false
3,13,false
3,14,false
3,15,false
3,16,false
3,17,false
3,18,false
3,19,false
3,20,false
3,21,false
3,22,true
3,23,true
3,24,true
3,25,false
3,26,false
3,27,false
3,28,false
3,29,true
3,30,true
3,31,false
3,32,false
3,33,false
4,1,false
4,2,false
4,3,false
4,4,false
4,5,false
4,6,false
4,7,false
4,8,true
4,9,false
4,10,false
4,11,false
4,12,false
4,13,false
4,14,false
4,15,false
4,16,false
4,17,false
4,18,false
4,19,false
4,20,false
4,21,false
4,22,false
4,23,false
4,24,false
4,25,false
4,26,true
4,27,false
4,28,false
4,29,false
4,30,false
4,31,false
4,32,false
4,33,false
5,1,true
5,2,false
5,3,false
5,4,true
5,5,true
5,6,true
5,7,false
5,8,false
5,9,true
5,10,true
5,11,true
5,12,true
5,13,false
5,14,false
5,15,false
5,16,false
5,17,false
5,18,false
5,19,true
5,20,false
5,21,true
5,22,false
5,23,false
5,24,true
5,25,false
5,26,false
5,27,true
5,28,false
5,29,true
5,30,true
5,31,true
5,32,false
5,33,false
6,1,false
6,2,true
6,3,true
6,4,true
6,5,false
6,6,false
6,7,false
6,8,true
6,9,false
6,10,false
6,11,false
6,12,true
6,13,false
6,14,false
6,15,false
6,16,false
6,17,false
6,18,false
6,19,true
6,20,false
6,21,false
6,22,true
6,23,true
6,24,false
6,25,true
6,26,true
6,27,false
6,28,false
6,29,true
6,30,true
6,31,false
6,32,false
6,33,false
7,1,true
7,2,false
7,3,false
7,4,false
7,5,false
7,6,false
7,7,true
7,8,true
7,9,true
7,10,false
7,11,true
7,12,false
7,13,false
7,14,false
7,15,false
7,16,false
7,17,false
7,18,false
7,19,true
7,20,false
7,21,false
7,22,true
7,23,true
7,24,false
7,25,false
7,26,true
7,27,false
7,28,false
7,29,false
7,30,true
7,31,false
7,32,false
7,33,false
8,1,false
8,2,false
8,3,false
8,4,false
8,5,false
8,6,true
8,7,false
8,8,true
8,9,true
8,10,false
8,11,false
8,12,true
8,13,false
8,14,false
8,15,false
8,16,false
8,17,false
8,18,false
8,19,true
8,20,false
8,21,false
8,22,true
8,23,true
8,24,false
8,25,false
8,26,true
8,27,false
8,28,false
8,29,false
8,30,true
8,31,false
8,32,false
8,33,false
9,1,true
9,2,false
9,3,false
9,4,false
9,5,false
9,6,false
9,7,false
9,8,false
9,9,false
9,10,false
9,11,false
9,12,false
9,13,false
9,14,false
9,15,false
9,16,false
9,17,false
9,18,false
9,19,false
9,20,false
9,21,false
9,22,false
9,23,false
9,24,false
9,25,false
9,26,false
9,27,false
9,28,false
9,29,false
9,30,false
9,31,false
9,32,false
9,33,false
10,1,false
10,2,false
10,3,true
10,4,false
10,5,false
10,6,false
10,7,false
10,8,false
10,9,false
10,10,false
10,11,false
10,12,false
10,13,false
10,14,false
10,15,false
10,16,false
10,17,false
10,18,false
10,19,true
10,20,false
10,21,false
10,22,true
10,23,false
10,24,false
10,25,false
10,26,true
10,27,false
10,28,false
10,29,false
10,30,true
10,31,false
10,32,false
10,33,false
11,1,false
11,2,false
11,3,true
11,4,false
11,5,false
11,6,true
11,7,false
11,8,false
11,9,true
11,10,false
11,11,false
11,12,true
11,13,false
11,14,false
11,15,false
11,16,false
11,17,false
11,18,false
11,19,true
11,20,false
11,21,false
11,22,false
11,23,true
11,24,true
11,25,true
11,26,false
11,27,false
11,28,false
11,29,true
11,30,true
11,31,false
11,32,false
11,33,false
12,1,true
12,2,false
12,3,false
12,4,false
12,5,false
12,6,false
12,7,false
12,8,false
12,9,false
12,10,false
12,11,false
12,12,false
12,13,false
12,14,false
12,15,false
12,16,false
12,17,false
12,18,false
12,19,false
12,20,false
12,21,false
12,22,false
12,23,false
12,24,false
12,25,false
