Official Name State,State Abbreviation,Official Name County,Type,Name with legal/statistical area description
Minnesota,MN,Swift,county,Swift County
Minnesota,MN,Todd,county,Todd County
Minnesota,MN,Traverse,county,Traverse County
Minnesota,MN,Wabasha,county,Wabasha County
Minnesota,MN,Wadena,county,Wadena County
Minnesota,MN,Waseca,county,Waseca County
Minnesota,MN,Washington,county,Washington County
Minnesota,MN,Watonwan,county,Watonwan County
Minnesota,MN,Wilkin,county,Wilkin County
Minnesota,MN,Winona,county,Winona County
Minnesota,MN,Wright,county,Wright County
Minnesota,MN,Yellow Medicine,county,Yellow Medicine County
Mississippi,MS,Adams,county,Adams County
Mississippi,MS,Alcorn,county,Alcorn County
Mississippi,MS,Amite,county,Amite County
Mississippi,MS,Attala,county,Attala County
Mississippi,MS,Benton,county,Benton County
Mississippi,MS,Bolivar,county,Bolivar County
Mississippi,MS,Calhoun,county,Calhoun County
Mississippi,MS,Carroll,county,Carroll County
Mississippi,MS,Chickasaw,county,Chickasaw County
Mississippi,MS,Choctaw,county,Choctaw County
Mississippi,MS,Claiborne,county,Claiborne County
Mississippi,MS,Clarke,county,Clarke County
Mississippi,MS,Clay,county,Clay County
Mississippi,MS,Coahoma,county,Coahoma County
Mississippi,MS,Copiah,county,Copiah County
Mississippi,MS,Covington,county,Covington County
Mississippi,MS,DeSoto,county,DeSoto County
Mississippi,MS,Forrest,county,Forrest County
Mississippi,MS,Franklin,county,Franklin County
Mississippi,MS,George,county,George County
Mississippi,MS,Greene,county,Greene County
Mississippi,MS,Grenada,county,Grenada County
Mississippi,MS,Hancock,county,Hancock County
Mississippi,MS,Harrison,county,Harrison County
Mississippi,MS,Hinds,county,Hinds County
Mississippi,MS,Holmes,county,Holmes County
Mississippi,MS,Humphreys,county,Humphreys County
Mississippi,MS,Issaquena,county,Issaquena County
Mississippi,MS,Itawamba,county,Itawamba County
Mississippi,MS,Jackson,county,Jackson County
Mississippi,MS,Jasper,county,Jasper County
Mississippi,MS,Jefferson,county,Jefferson County
Mississippi,MS,Jefferson Davis,county,Jefferson Davis County
Mississippi,MS,Jones,county,Jones County
Mississippi,MS,Kemper,county,Kemper County
Mississippi,MS,Lafayette,county,Lafayette County
Mississippi,MS,Lamar,county,Lamar County
Mississippi,MS,Lauderdale,county,Lauderdale County
Mississippi,MS,Lawrence,county,Lawrence County
Mississippi,MS,Leake,county,Leake County
Mississippi,MS,Lee,county,Lee County
Mississippi,MS,Leflore,county,Leflore County
Mississippi,MS,Lincoln,county,Lincoln County
Mississippi,MS,Lowndes,county,Lowndes County
Mississippi,MS,Madison,county,Madison County
Mississippi,MS,Marion,county,Marion County
Mississippi,MS,Marshall,county,Marshall County
Mississippi,MS,Monroe,county,Monroe County
Mississippi,MS,Montgomery,county,Montgomery County
Mississippi,MS,Neshoba,county,Neshoba County
Mississippi,MS,Newton,county,Newton County
Mississippi,MS,Noxubee,county,Noxubee County
Mississippi,MS,Oktibbeha,county,Oktibbeha County
Mississippi,MS,Panola,county,Panola County
Mississippi,MS,Pearl River,county,Pearl River County
Mississippi,MS,Perry,county,Perry County
Mississippi,MS,Pike,county,Pike County
Mississippi,MS,Pontotoc,county,Pontotoc County
Mississippi,MS,Prentiss,county,Prentiss County
Mississippi,MS,Quitman,county,Quitman County
Mississippi,MS,Rankin,county,Rankin County
Mississippi,MS,Scott,county,Scott County
Mississippi,MS,Sharkey,county,Sharkey County
Mississippi,MS,Simpson,county,Simpson County
Mississippi,MS,Smith,county,Smith County
Mississippi,MS,Stone,county,Stone County
Mississippi,MS,Sunflower,county,Sunflower County
Mississippi,MS,Tallahatchie,county,Tallahatchie County
Mississippi,MS,Tate,county,Tate County
Mississippi,MS,Tippah,county,Tippah County
Mississippi,MS,Tishomingo,county,Tishomingo County
Mississippi,MS,Tunica,county,Tunica County
Mississippi,MS,Union,county,Union County
Mississippi,MS,Walthall,county,Walthall County
Mississippi,MS,Warren,county,Warren County
Mississippi,MS,Washington,county,Washington County
Mississippi,MS,Wayne,county,Wayne County
Mississippi,MS,Webster,county,Webster County
Mississippi,MS,Wilkinson,county,Wilkinson County
Mississippi,MS,Winston,county,Winston County
Mississippi,MS,Yalobusha,county,Yalobusha County
Mississippi,MS,Yazoo,county,Yazoo County
Missouri,MO,Adair,county,Adair County
Missouri,MO,Andrew,county,Andrew County
Missouri,MO,Atchison,county,Atchison County
Missouri,MO,Audrain,county,Audrain County
Missouri,MO,Barry,county,Barry County
Missouri,MO,Barton,county,Barton County
Missouri,MO,Bates,county,Bates County
Missouri,MO,Benton,county,Benton County
Missouri,MO,Bollinger,county,Bollinger County
Missouri,MO,Boone,county,Boone County
Missouri,MO,Buchanan,county,Buchanan County
Missouri,MO,Butler,county,Butler County
Missouri,MO,Caldwell,county,Caldwell County
Missouri,MO,Callaway,county,Callaway County
Missouri,MO,Camden,county,Camden County
Missouri,MO,Cape Girardeau,county,Cape Girardeau County
Missouri,MO,Carroll,county,Carroll County
Missouri,MO,Carter,county,Carter County
Missouri,MO,Cass,county,Cass County
Missouri,MO,Cedar,county,Cedar County
Missouri,MO,Chariton,county,Chariton County
Missouri,MO,Christian,county,Christian County
Missouri,MO,Clark,county,Clark County
Missouri,MO,Clay,county,Clay County
Missouri,MO,Clinton,county,Clinton County
Missouri,MO,Cole,county,Cole County
Missouri,MO,Cooper,county,Cooper County
Missouri,MO,Crawford,county,Crawford County
Missouri,MO,Dade,county,Dade County
Missouri,MO,Dallas,county,Dallas County
Missouri,MO,Daviess,county,Daviess County
Missouri,MO,DeKalb,county,DeKalb County
Missouri,MO,Dent,county,Dent County
Missouri,MO,Douglas,county,Douglas County
Missouri,MO,Dunklin,county,Dunklin County
Missouri,MO,Franklin,county,Franklin County
Missouri,MO,Gasconade,county,Gasconade County
Missouri,MO,Gentry,county,Gentry County
Missouri,MO,Greene,county,Greene County
Missouri,MO,Grundy,county,Grundy County
Missouri,MO,Harrison,county,Harrison County
Missouri,MO,Henry,county,Henry County
Missouri,MO,Hickory,county,Hickory County
Missouri,MO,Holt,county,Holt County
Missouri,MO,Howard,county,Howard County
Missouri,MO,Howell,county,Howell County
Missouri,MO,Iron,county,Iron County
Missouri,MO,Jackson,county,Jackson County
Missouri,MO,Jasper,county,Jasper County
Missouri,MO,Jefferson,county,Jefferson County
Missouri,MO,Johnson,county,Johnson County
Missouri,MO,Knox,county,Knox County
Missouri,MO,Laclede,county,Laclede County
Missouri,MO,Lafayette,county,Lafayette County
Missouri,MO,Lawrence,county,Lawrence County
Missouri,MO,Lewis,county,Lewis County
Missouri,MO,Lincoln,county,Lincoln County
Missouri,MO,Linn,county,Linn County
Missouri,MO,Livingston,county,Livingston County
Missouri,MO,Macon,county,Macon County
Missouri,MO,Madison,county,Madison County
Missouri,MO,Maries,county,Maries County
Missouri,MO,Marion,county,Marion County
Missouri,MO,McDonald,county,McDonald County
Missouri,MO,Mercer,county,Mercer County
Missouri,MO,Miller,county,Miller County
Missouri,MO,Mississippi,county,Mississippi County
Missouri,MO,Moniteau,county,Moniteau County
Missouri,MO,Monroe,county,Monroe County
Missouri,MO,Montgomery,county,Montgomery County
Missouri,MO,Morgan,county,Morgan County
Missouri,MO,New Madrid,county,New Madrid County
Missouri,MO,Newton,county,Newton County
Missouri,MO,Nodaway,county,Nodaway County
Missouri,MO,Oregon,county,Oregon County
Missouri,MO,Osage,county,Osage County
Missouri,MO,Ozark,county,Ozark County
Missouri,MO,Pemiscot,county,Pemiscot County
Missouri,MO,Perry,county,Perry County
Missouri,MO,Pettis,county,Pettis County
Missouri,MO,Phelps,county,Phelps County
Missouri,MO,Pike,county,Pike County
Missouri,MO,Platte,county,Platte County
Missouri,MO,Polk,county,Polk County
Missouri,MO,Pulaski,county,Pulaski County
Missouri,MO,Putnam,county,Putnam County
Missouri,MO,Ralls,county,Ralls County
Missouri,MO,Randolph,county,Randolph County
Missouri,MO,Ray,county,Ray County
Missouri,MO,Reynolds,county,Reynolds County
Missouri,MO,Ripley,county,Ripley County
Missouri,MO,Saline,county,Saline County
Missouri,MO,Schuyler,county,Schuyler County
Missouri,MO,Scotland,county,Scotland County
Missouri,MO,Scott,county,Scott County
Missouri,MO,Shannon,county,Shannon County
Missouri,MO,Shelby,county,Shelby County
Missouri,MO,St. Charles,county,St. Charles County
Missouri,MO,St. Clair,county,St. Clair County
Missouri,MO,St. Francois,county,St. Francois County
Missouri,MO,St. Louis,city,St. Louis city
Missouri,MO,St. Louis,county,St. Louis County
Missouri,MO,Ste. Genevieve,county,Ste. Genevieve County
Missouri,MO,Stoddard,county,Stoddard County
Missouri,MO,Stone,county,Stone County
Missouri,MO,Sullivan,county,Sullivan County
Missouri,MO,Taney,county,Taney County
Missouri,MO,Texas,county,Texas County
Missouri,MO,Vernon,county,Vernon County
Missouri,MO,Warren,county,Warren County
Missouri,MO,Washington,county,Washington County
Missouri,MO,Wayne,county,Wayne County
Missouri,MO,Webster,county,Webster County
Missouri,MO,Worth,county,Worth County
Missouri,MO,Wright,county,Wright County
Montana,MT,Beaverhead,county,Beaverhead County
Montana,MT,Big Horn,county,Big Horn County
Montana,MT,Blaine,county,Blaine County
Montana,MT,Broadwater,county,Broadwater County
Montana,MT,Carbon,county,Carbon County
Montana,MT,Carter,county,Carter County
Montana,MT,Cascade,county,Cascade County
Montana,MT,Chouteau,county,Chouteau County
Montana,MT,Custer,county,Custer County
Montana,MT,Daniels,county,Daniels County
Montana,MT,Dawson,county,Dawson County
Montana,MT,Deer Lodge,county,Deer Lodge County
Montana,MT,Fallon,county,Fallon County
Montana,MT,Fergus,county,Fergus County
Montana,MT,Flathead,county,Flathead County
Montana,MT,Gallatin,county,Gallatin County
Montana,MT,Garfield,county,Garfield County
Montana,MT,Glacier,county,Glacier County
Montana,MT,Golden Valley,county,Golden Valley County
Montana,MT,Granite,county,Granite County
Montana,MT,Hill,county,Hill County
Montana,MT,Jefferson,county,Jefferson County
Montana,MT,Judith Basin,county,Judith Basin County
Montana,MT,Lake,county,Lake County
Montana,MT,Lewis and Clark,county,Lewis and Clark County
Montana,MT,Liberty,county,Liberty County
Montana,MT,Lincoln,county,Lincoln County
Montana,MT,Madison,county,Madison County
Montana,MT,McCone,county,McCone County
Montana,MT,Meagher,county,Meagher County
Montana,MT,Mineral,county,Mineral County
Montana,MT,Missoula,county,Missoula County
Montana,MT,Musselshell,county,Musselshell County
Montana,MT,Park,county,Park County
Montana,MT,Petroleum,county,Petroleum County
Montana,MT,Phillips,county,Phillips County
Montana,MT,Pondera,county,Pondera County
Montana,MT,Powder River,county,Powder River County
Montana,MT,Powell,county,Powell County
Montana,MT,Prairie,county,Prairie County
Montana,MT,Ravalli,county,Ravalli County
Montana,MT,Richland,county,Richland County
Montana,MT,Roosevelt,county,Roosevelt County
Montana,MT,Rosebud,county,Rosebud County
Montana,MT,Sanders,county,Sanders County
Montana,MT,Sheridan,county,Sheridan County
Montana,MT,Silver Bow,county,Silver Bow County
Montana,MT,Stillwater,county,Stillwater County
Montana,MT,Sweet Grass,county,Sweet Grass County
Montana,MT,Teton,county,Teton County
Montana,MT,Toole,county,Toole County
Montana,MT,Treasure,county,Treasure County
Montana,MT,Valley,county,Valley County
Montana,MT,Wheatland,county,Wheatland County
Montana,MT,Wibaux,county,Wibaux County
Montana,MT,Yellowstone,county,Yellowstone County
Nebraska,NE,Adams,county,Adams County
Nebraska,NE,Antelope,county,Antelope County
Nebraska,NE,Arthur,county,Arthur County
Nebraska,NE,Banner,county,Banner County
Nebraska,NE,Blaine,county,Blaine County
Nebraska,NE,Boone,county,Boone County
Nebraska,NE,Box Butte,county,Box Butte County
Nebraska,NE,Boyd,county,Boyd County
Nebraska,NE,Brown,county,Brown County
Nebraska,NE,Buffalo,county,Buffalo County
Nebraska,NE,Burt,county,Burt County
Nebraska,NE,Butler,county,Butler County
Nebraska,NE,Cass,county,Cass County
Nebraska,NE,Cedar,county,Cedar County
Nebraska,NE,Chase,county,Chase County
Nebraska,NE,Cherry,county,Cherry County
Nebraska,NE,Cheyenne,county,Cheyenne County
Nebraska,NE,Clay,county,Clay County
Nebraska,NE,Colfax,county,Colfax County
Nebraska,NE,Cuming,county,Cuming County
Nebraska,NE,Custer,county,Custer County
Nebraska,NE,Dakota,county,Dakota County
Nebraska,NE,Dawes,county,Dawes County
Nebraska,NE,Dawson,county,Dawson County
Nebraska,NE,Deuel,county,Deuel County
Nebraska,NE,Dixon,county,Dixon County
Nebraska,NE,Dodge,county,Dodge County
Nebraska,NE,Douglas,county,Douglas County
Nebraska,NE,Dundy,county,Dundy County
Nebraska,NE,Fillmore,county,Fillmore County
Nebraska,NE,Franklin,county,Franklin County
Nebraska,NE,Frontier,county,Frontier County
Nebraska,NE,Furnas,county,Furnas County
Nebraska,NE,Gage,county,Gage County
Nebraska,NE,Garden,county,Garden County
Nebraska,NE,Garfield,county,Garfield County
Nebraska,NE,Gosper,county,Gosper County
Nebraska,NE,Grant,county,Grant County
Nebraska,NE,Greeley,county,Greeley County
Nebraska,NE,Hall,county,Hall County
Nebraska,NE,Hamilton,county,Hamilton County
Nebraska,NE,Harlan,county,Harlan County
Nebraska,NE,Hayes,county,Hayes County
Nebraska,NE,Hitchcock,county,Hitchcock County
Nebraska,NE,Holt,county,Holt County
Nebraska,NE,Hooker,county,Hooker County
Nebraska,NE,Howard,county,Howard County
Nebraska,NE,Jefferson,county,Jefferson County
Nebraska,NE,Johnson,county,Johnson County
Nebraska,NE,Kearney,county,Kearney County
Nebraska,NE,Keith,county,Keith County
Nebraska,NE,Keya Paha,county,Keya Paha County
Nebraska,NE,Kimball,county,Kimball County
Nebraska,NE,Knox,county,Knox County
Nebraska,NE,Lancaster,county,Lancaster County
Nebraska,NE,Lincoln,county,Lincoln County
Nebraska,NE,Logan,county,Logan County
Nebraska,NE,Loup,county,Loup County
Nebraska,NE,Madison,county,Madison County
Nebraska,NE,McPherson,county,McPherson County
Nebraska,NE,Merrick,county,Merrick County
Nebraska,NE,Morrill,county,Morrill County
Nebraska,NE,Nance,county,Nance County
Nebraska,NE,Nemaha,county,Nemaha County
Nebraska,NE,Nuckolls,county,Nuckolls County
Nebraska,NE,Otoe,county,Otoe County
Nebraska,NE,Pawnee,county,Pawnee County
Nebraska,NE,Perkins,county,Perkins County
Nebraska,NE,Phelps,county,Phelps County
Nebraska,NE,Pierce,county,Pierce County
Nebraska,NE,Platte,county,Platte County
Nebraska,NE,Polk,county,Polk County
Nebraska,NE,Red Willow,county,Red Willow County
Nebraska,NE,Richardson,county,Richardson County
Nebraska,NE,Rock,county,Rock County
Nebraska,NE,Saline,county,Saline County
Nebraska,NE,Sarpy,county,Sarpy County
Nebraska,NE,Saunders,county,Saunders County
Nebraska,NE,Scotts Bluff,county,Scotts Bluff County
Nebraska,NE,Seward,county,Seward County
Nebraska,NE,Sheridan,county,Sheridan County
Nebraska,NE,Sherman,county,Sherman County
Nebraska,NE,Sioux,county,Sioux County
Nebraska,NE,Stanton,county,Stanton County
Nebraska,NE,Thayer,county,Thayer County
Nebraska,NE,Thomas,county,Thomas County
Nebraska,NE,Thurston,county,Thurston County
Nebraska,NE,Valley,county,Valley County
Nebraska,NE,Washington,county,Washington County
Nebraska,NE,Wayne,county,Wayne County
Nebraska,NE,Webster,county,Webster County
Nebraska,NE,Wheeler,county,Wheeler County
Nebraska,NE,York,county,York County
Nevada,NV,Carson City,,Carson City
Nevada,NV,Churchill,county,Churchill County
Nevada,NV,Clark,county,Clark County
Nevada,NV,Douglas,county,Douglas County
Nevada,NV,Elko,county,Elko County
Nevada,NV,Esmeralda,county,Esmeralda County
Nevada,NV,Eureka,county,Eureka County
Nevada,NV,Humboldt,county,Humboldt County
Nevada,NV,Lander,county,Lander County
Nevada,NV,Lincoln,county,Lincoln County
Nevada,NV,Lyon,county,Lyon County
Nevada,NV,Mineral,county,Mineral County
Nevada,NV,Nye,county,Nye County
Nevada,NV,Pershing,county,Pershing County
Nevada,NV,Storey,county,Storey County
Nevada,NV,Washoe,county,Washoe County
Nevada,NV,White Pine,county,White Pine County
New Hampshire,NH,Belknap,county,Belknap County
New Hampshire,NH,Carroll,county,Carroll County
New Hampshire,NH,Cheshire,county,Cheshire County
New Hampshire,NH,Coos,county,Coos County
New Hampshire,NH,Grafton,county,Grafton County
New Hampshire,NH,Hillsborough,county,Hillsborough County
New Hampshire,NH,Merrimack,county,Merrimack County
New Hampshire,NH,Rockingham,county,Rockingham County
New Hampshire,NH,Strafford,county,Strafford County
New Hampshire,NH,Sullivan,county,Sullivan County
New Jersey,NJ,Atlantic,county,Atlantic County
New Jersey,NJ,Bergen,county,Bergen County
New Jersey,NJ,Burlington,county,Burlington County
New Jersey,NJ,Camden,county,Camden County
New Jersey,NJ,Cape May,county,Cape May County
New Jersey,NJ,Cumberland,county,Cumberland County
New Jersey,NJ,Essex,county,Essex County
New Jersey,NJ,Gloucester,county,Gloucester County
New Jersey,NJ,Hudson,county,Hudson County
New Jersey,NJ,Hunterdon,county,Hunterdon County
New Jersey,NJ,Mercer,county,Mercer County
New Jersey,NJ,Middlesex,county,Middlesex County
New Jersey,NJ,Monmouth,county,Monmouth County
New Jersey,NJ,Morris,county,Morris County
New Jersey,NJ,Ocean,county,Ocean County
New Jersey,NJ,Passaic,county,Passaic County
New Jersey,NJ,Salem,county,Salem County
New Jersey,NJ,Somerset,county,Somerset County
New Jersey,NJ,Sussex,county,Sussex County
New Jersey,NJ,Union,county,Union County
New Jersey,NJ,Warren,county,Warren County
New Mexico,NM,Bernalillo,county,Bernalillo County
New Mexico,NM,Catron,county,Catron County
New Mexico,NM,Chaves,county,Chaves County
New Mexico,NM,Cibola,county,Cibola County
New Mexico,NM,Colfax,county,Colfax County
New Mexico,NM,Curry,county,Curry County
New Mexico,NM,De Baca,county,De Baca County
New Mexico,NM,Doña Ana,county,Doña Ana County
New Mexico,NM,Eddy,county,Eddy County
New Mexico,NM,Grant,county,Grant County
New Mexico,NM,Guadalupe,county,Guadalupe County
New Mexico,NM,Harding,county,Harding County
New Mexico,NM,Hidalgo,county,Hidalgo County
New Mexico,NM,Lea,county,Lea County
New Mexico,NM,Lincoln,county,Lincoln County
New Mexico,NM,Los Alamos,county,Los Alamos County
New Mexico,NM,Luna,county,Luna County
New Mexico,NM,McKinley,county,McKinley County
New Mexico,NM,Mora,county,Mora County
New Mexico,NM,Otero,county,Otero County
New Mexico,NM,Quay,county,Quay County
New Mexico,NM,Rio Arriba,county,Rio Arriba County
New Mexico,NM,Roosevelt,county,Roosevelt County
New Mexico,NM,San Juan,county,San Juan County
New Mexico,NM,San Miguel,county,San Miguel County
New Mexico,NM,Sandoval,county,Sandoval County
New Mexico,NM,Santa Fe,county,Santa Fe County
New Mexico,NM,Sierra,county,Sierra County
New Mexico,NM,Socorro,county,Socorro County
New Mexico,NM,Taos,county,Taos County
New Mexico,NM,Torrance,county,Torrance County
New Mexico,NM,Union,county,Union County
New Mexico,NM,Valencia,county,Valencia County
New York,NY,Albany,county,Albany County
New York,NY,Allegany,county,Allegany County
New York,NY,Bronx,county,Bronx County
New York,NY,Broome,county,Broome County
New York,NY,Cattaraugus,county,Cattaraugus County
New York,NY,Cayuga,county,Cayuga County
New York,NY,Chautauqua,county,Chautauqua County
New York,NY,Chemung,county,Chemung County
New York,NY,Chenango,county,Chenango County
New York,NY,Clinton,county,Clinton County
New York,NY,Columbia,county,Columbia County
New York,NY,Cortland,county,Cortland County
New York,NY,Delaware,county,Delaware County
New York,NY,Dutchess,county,Dutchess County
New York,NY,Erie,county,Erie County
New York,NY,Essex,county,Essex County
New York,NY,Franklin,county,Franklin County
New York,NY,Fulton,county,Fulton County
New York,NY,Genesee,county,Genesee County
New York,NY,Greene,county,Greene County
New York,NY,Hamilton,county,Hamilton County
New York,NY,Herkimer,county,Herkimer County
New York,NY,Jefferson,county,Jefferson County
New York,NY,Kings,county,Kings County
New York,NY,Lewis,county,Lewis County
New York,NY,Livingston,county,Livingston County
New York,NY,Madison,county,Madison County
New York,NY,Monroe,county,Monroe County
New York,NY,Montgomery,county,Montgomery County
New York,NY,Nassau,county,Nassau County
New York,NY,New York,county,New York County
New York,NY,Niagara,county,Niagara County
New York,NY,Oneida,county,Oneida County
New York,NY,Onondaga,county,Onondaga County
New York,NY,Ontario,county,Ontario County
New York,NY,Orange,county,Orange County
New York,NY,Orleans,county,Orleans County
New York,NY,Oswego,county,Oswego County
New York,NY,Otsego,county,Otsego County
New York,NY,Putnam,county,Putnam County
New York,NY,Queens,county,Queens County
New York,NY,Rensselaer,county,Rensselaer County
New York,NY,Richmond,county,Richmond County
New York,NY,Rockland,county,Rockland County
New York,NY,Saratoga,county,Saratoga County
New York,NY,Schenectady,county,Schenectady County
New York,NY,Schoharie,county,Schoharie County
New York,NY,Schuyler,county,Schuyler County
New York,NY,Seneca,county,Seneca County
New York,NY,St. Lawrence,county,St. Lawrence County
New York,NY,Steuben,county,Steuben County
New York,NY,Suffolk,county,Suffolk County
New York,NY,Sullivan,county,Sullivan County
New York,NY,Tioga,county,Tioga County
New York,NY,Tompkins,county,Tompkins County
New York,NY,Ulster,county,Ulster County
New York,NY,Warren,county,Warren County
New York,NY,Washington,county,Washington County
New York,NY,Wayne,county,Wayne County
New York,NY,Westchester,county,Westchester County
New York,NY,Wyoming,county,Wyoming County
New York,NY,Yates,county,Yates County
North Carolina,NC,Alamance,county,Alamance County
North Carolina,NC,Alexander,county,Alexander County
North Carolina,NC,Alleghany,county,Alleghany County
North Carolina,NC,Anson,county,Anson County
North Carolina,NC,Ashe,county,Ashe County
North Carolina,NC,Avery,county,Avery County
North Carolina,NC,Beaufort,county,Beaufort County
North Carolina,NC,Bertie,county,Bertie County
North Carolina,NC,Bladen,county,Bladen County
North Carolina,NC,Brunswick,county,Brunswick County
North Carolina,NC,Buncombe,county,Buncombe County
North Carolina,NC,Burke,county,Burke County
North Carolina,NC,Cabarrus,county,Cabarrus County
North Carolina,NC,Caldwell,county,Caldwell County
North Carolina,NC,Camden,county,Camden County
North Carolina,NC,Carteret,county,Carteret County
North Carolina,NC,Caswell,county,Caswell County
North Carolina,NC,Catawba,county,Catawba County
North Carolina,NC,Chatham,county,Chatham County
North Carolina,NC,Cherokee,county,Cherokee County
North Carolina,NC,Chowan,county,Chowan County
North Carolina,NC,Clay,county,Clay County
North Carolina,NC,Cleveland,county,Cleveland County
North Carolina,NC,Columbus,county,Columbus County
North Carolina,NC,Craven,county,Craven County
North Carolina,NC,Cumberland,county,Cumberland County
North Carolina,NC,Currituck,county,Currituck County
North Carolina,NC,Dare,county,Dare County
North Carolina,NC,Davidson,county,Davidson County
North Carolina,NC,Davie,county,Davie County
North Carolina,NC,Duplin,county,Duplin County
North Carolina,NC,Durham,county,Durham County
North Carolina,NC,Edgecombe,county,Edgecombe County
North Carolina,NC,Forsyth,county,Forsyth County
North Carolina,NC,Franklin,county,Franklin County
North Carolina,NC,Gaston,county,Gaston County
North Carolina,NC,Gates,county,Gates County
North Carolina,NC,Graham,county,Graham County
North Carolina,NC,Granville,county,Granville County
North Carolina,NC,Greene,county,Greene County
North Carolina,NC,Guilford,county,Guilford County
North Carolina,NC,Halifax,county,Halifax County
North Carolina,NC,Harnett,county,Harnett County
North Carolina,NC,Haywood,county,Haywood County
North Carolina,NC,Henderson,county,Henderson County
North Carolina,NC,Hertford,county,Hertford County
North Carolina,NC,Hoke,county,Hoke County
North Carolina,NC,Hyde,county,Hyde County
North Carolina,NC,Iredell,county,Iredell County
North Carolina,NC,Jackson,county,Jackson County
North Carolina,NC,Johnston,county,Johnston County
North Carolina,NC,Jones,county,Jones County
North Carolina,NC,Lee,county,Lee County
North Carolina,NC,Lenoir,county,Lenoir County
North Carolina,NC,Lincoln,county,Lincoln County
North Carolina,NC,Macon,county,Macon County
North Carolina,NC,Madison,county,Madison County
North Carolina,NC,Martin,county,Martin County
North Carolina,NC,McDowell,county,McDowell County
North Carolina,NC,Mecklenburg,county,Mecklenburg County
North Carolina,NC,Mitchell,county,Mitchell County
North Carolina,NC,Montgomery,county,Montgomery County
North Carolina,NC,Moore,county,Moore County
North Carolina,NC,Nash,county,Nash County
North Carolina,NC,New Hanover,county,New Hanover County
North Carolina,NC,Northampton,county,Northampton County
North Carolina,NC,Onslow,county,Onslow County
North Carolina,NC,Orange,county,Orange County
North Carolina,NC,Pamlico,county,Pamlico County
North Carolina,NC,Pasquotank,county,Pasquotank County
North Carolina,NC,Pender,county,Pender County
North Carolina,NC,Perquimans,county,Perquimans County
North Carolina,NC,Person,county,Person County
North Carolina,NC,Pitt,county,Pitt County
North Carolina,NC,Polk,county,Polk County
North Carolina,NC,Randolph,county,Randolph County
North Carolina,NC,Richmond,county,Richmond County
North Carolina,NC,Robeson,county,Robeson County
North Carolina,NC,Rockingham,county,Rockingham County
North Carolina,NC,Rowan,county,Rowan County
North Carolina,NC,Rutherford,county,Rutherford County
North Carolina,NC,Sampson,county,Sampson County
North Carolina,NC,Scotland,county,Scotland County
North Carolina,NC,Stanly,county,Stanly County
North Carolina,NC,Stokes,county,Stokes County
North Carolina,NC,Surry,county,Surry County
North Carolina,NC,Swain,county,Swain County
North Carolina,NC,Transylvania,county,Transylvania County
North Carolina,NC,Tyrrell,county,Tyrrell County
North Carolina,NC,Union,county,Union County
North Carolina,NC,Vance,county,Vance County
North Carolina,NC,Wake,county,Wake County
North Carolina,NC,Warren,county,Warren County
North Carolina,NC,Washington,county,Washington County
North Carolina,NC,Watauga,county,Watauga County
North Carolina,NC,Wayne,county,Wayne County
North Carolina,NC,Wilkes,county,Wilkes County
North Carolina,NC,Wilson,county,Wilson County
North Carolina,NC,Yadkin,county,Yadkin County
North Carolina,NC,Yancey,county,Yancey County
North Dakota,ND,Adams,county,Adams County
North Dakota,ND,Barnes,county,Barnes County
North Dakota,ND,Benson,county,Benson County
North Dakota,ND,Billings,county,Billings County
North Dakota,ND,Bottineau,county,Bottineau County
North Dakota,ND,Bowman,county,Bowman County
North Dakota,ND,Burke,county,Burke County
North Dakota,ND,Burleigh,county,Burleigh County
North Dakota,ND,Cass,county,Cass County
North Dakota,ND,Cavalier,county,Cavalier County
North Dakota,ND,Dickey,county,Dickey County
North Dakota,ND,Divide,county,Divide County
North Dakota,ND,Dunn,county,Dunn County
North Dakota,ND,Eddy,county,Eddy County
North Dakota,ND,Emmons,county,Emmons County
North Dakota,ND,Foster,county,Foster County
North Dakota,ND,Golden Valley,county,Golden Valley County
North Dakota,ND,Grand Forks,county,Grand Forks County
North Dakota,ND,Grant,county,Grant County
North Dakota,ND,Griggs,county,Griggs County
North Dakota,ND,Hettinger,county,Hettinger County
North Dakota,ND,Kidder,county,Kidder County
North Dakota,ND,LaMoure,county,LaMoure County
North Dakota,ND,Logan,county,Logan County
North Dakota,ND,McHenry,county,McHenry County
North Dakota,ND,McIntosh,county,McIntosh County
North Dakota,ND,McKenzie,county,McKenzie County
North Dakota,ND,McLean,county,McLean County
North Dakota,ND,Mercer,county,Mercer County
North Dakota,ND,Morton,county,Morton County
North Dakota,ND,Mountrail,county,Mountrail County
North Dakota,ND,Nelson,county,Nelson County
North Dakota,ND,Oliver,county,Oliver County
North Dakota,ND,Pembina,county,Pembina County
North Dakota,ND,Pierce,county,Pierce County
North Dakota,ND,Ramsey,county,Ramsey County
North Dakota,ND,Ransom,county,Ransom County
North Dakota,ND,Renville,county,Renville County
North Dakota,ND,Richland,county,Richland County
North Dakota,ND,Rolette,county,Rolette County
North Dakota,ND,Sargent,county,Sargent County
North Dakota,ND,Sheridan,county,Sheridan County
North Dakota,ND,Sioux,county,Sioux County
North Dakota,ND,Slope,county,Slope County
North Dakota,ND,Stark,county,Stark County
North Dakota,ND,Steele,county,Steele County
North Dakota,ND,Stutsman,county,Stutsman County
North Dakota,ND,Towner,county,Towner County
